지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,경쟁률(접수/선발),응시인원,응시율(%),경쟁률(응시/선발),필기합격인원,합격선,합격선기준,양성평등합격선,원본파일명,비고
서울,공무원,2024,2회,공개경쟁,,행정직군,세무,지방세,9급,일반,67,2029,30.3:1,1227,60.5,18.3:1,100,85,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,세무,지방세,9급,장애인,6,24,4.0:1,15,62.5,2.5:1,4,61,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,세무,지방세,9급,저소득층,7,73,10.4:1,35,47.9,5.0:1,10,68,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,전산,전산,9급,일반,19,783,41.2:1,430,54.9,22.6:1,29,90,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,전산,전산,9급,장애인,2,17,8.5:1,11,64.7,5.5:1,4,73,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,전산,전산,9급,저소득층,2,23,11.5:1,15,65.2,7.5:1,4,70,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,사회복지,사회복지,9급,일반,98,1836,18.7:1,1377,75.0,14.1:1,130,87,과목평균,84,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,사회복지,사회복지,9급,장애인,7,53,7.6:1,41,77.4,5.9:1,7,51,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,사회복지,사회복지,9급,저소득층,15,134,8.9:1,93,69.4,6.2:1,21,66,과목평균,65,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,사서,사서,9급,일반,3,180,60.0:1,80,44.4,26.7:1,5,76,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,속기,속기,9급,일반,1,14,14.0:1,6,42.9,6.0:1,3,63,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,속기,속기,9급,지방의회,7,59,8.4:1,44,74.6,6.3:1,9,86,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,방호,방호,9급,일반,9,482,53.6:1,256,53.1,28.4:1,12,86.67,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,방호,방호,9급,지방의회,1,45,45.0:1,15,33.3,15.0:1,4,81.67,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,방호,방호,9급,저소득층,1,24,24.0:1,19,79.2,19.0:1,3,71.67,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,공업,일반기계,9급,일반,25,168,6.7:1,96,57.1,3.8:1,35,82,과목평균,80,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,공업,일반기계,9급,장애인,3,7,2.3:1,5,71.4,1.7:1,1,74,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,공업,일반기계,9급,저소득층,4,8,2.0:1,5,62.5,1.2:1,3,67,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,공업,일반전기,9급,일반,12,149,12.4:1,83,55.7,6.9:1,20,82,과목평균,79,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,공업,일반전기,9급,장애인,1,3,3.0:1,2,66.7,2.0:1,0,,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,공업,일반전기,9급,저소득층,2,7,3.5:1,5,71.4,2.5:1,2,76,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,공업,일반화공,9급,일반,30,169,5.6:1,106,62.7,3.5:1,39,82,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,공업,일반화공,9급,장애인,1,0,,0,,,0,,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,공업,일반화공,9급,저소득층,4,5,1.2:1,3,60.0,0.8:1,2,66,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,농업,일반농업,9급,일반,1,66,66.0:1,38,57.6,38.0:1,4,91,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,녹지,산림자원,9급,일반,24,153,6.4:1,106,69.3,4.4:1,31,77,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,녹지,산림자원,9급,장애인,3,4,1.3:1,3,75.0,1.0:1,0,,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,녹지,산림자원,9급,저소득층,3,7,2.3:1,2,28.6,0.7:1,1,64,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,녹지,조경,9급,일반,25,158,6.3:1,98,62.0,3.9:1,34,72,과목평균,71,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,녹지,조경,9급,장애인,3,1,0.3:1,1,100.0,0.3:1,1,58,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,녹지,조경,9급,저소득층,3,9,3.0:1,7,77.8,2.3:1,3,58,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,보건,보건,9급,일반,5,348,69.6:1,215,61.8,43.0:1,8,96,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,간호,간호,8급,일반,10,335,33.5:1,210,62.7,21.0:1,13,92,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,환경,일반환경,9급,일반,3,77,25.7:1,44,57.1,14.7:1,6,85,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,시설,일반토목,9급,일반,121,546,4.5:1,358,65.6,3.0:1,158,59,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,시설,일반토목,9급,장애인,11,1,0.1:1,1,100.0,0.1:1,0,,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,기술직군,시설,일반토목,9급,저소득층,16,8,0.5:1,7,87.5,0.4:1,3,64,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
