구분,지역,시험종류,연도,회차,시험구분,임용기관,직렬,직류,직급,대상,선발,접수,합격선,원본파일명
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,교정,교정,7급,일반,40,1286,70.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,보호,보호,7급,일반,5,172,74.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,검찰,검찰,7급,일반,10,1474,86.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,출입국관리,출입국관리,7급,일반,2,273,85.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,공업,일반기계,7급,일반,21,639,80.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,공업,전기,7급,일반,14,668,82.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,공업,화공,7급,일반,9,392,86.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,농업,일반농업,7급,일반,6,326,81.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,임업,산림자원,7급,일반,6,259,77.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,시설,일반토목,7급,일반,38,547,53.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,시설,건축,7급,일반,16,429,69.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,방재안전,방재안전,7급,일반,6,117,56.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,전산,전산개발,7급,일반,38,856,72.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,전산,데이터,7급,일반,16,257,49.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,방송통신,전송기술,7급,일반,16,245,62.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,외무영사,외무영사,7급,일반,28,2281,87.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,일반행정 전국,7급,장애인,16,122,50.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,우정사업본부,7급,장애인,2,8,61.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,재경,7급,장애인,1,5,46.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,고용노동,7급,장애인,2,20,53.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,선거행정,7급,장애인,2,25,48.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
