지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
서울,공무원,2023,2회,공개경쟁,,기술직군,시설,건축,7급,일반,16,349,188,21.8:1,150,86,43.0,9.4:1,23,13,71,,,17,7,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,시설,건축,7급,장애인,1,4,0,4.0:1,1,0,25.0,1.0:1,0,0,,,,0,0,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,방송통신,통신기술,7급,일반,4,186,58,46.5:1,70,19,37.6,17.5:1,7,1,65,,,4,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,수의,수의,7급,일반,4,21,10,5.3:1,13,6,61.9,3.3:1,6,4,65,,,4,3,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,약무,약무,7급,일반,48,66,51,1.4:1,23,19,34.8,0.5:1,17,13,60,,,15,13,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,시설,지적,7급,일반,6,241,122,40.2:1,87,46,36.1,14.5:1,8,6,86.67,,,8,6,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,시설,지적,7급,장애인,1,2,0,2.0:1,2,0,100.0,2.0:1,1,0,81.67,,,1,0,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,공업,일반화공,9급,기술계고,2,9,5,4.5:1,7,5,77.8,3.5:1,3,2,60,,,2,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,녹지,산림자원,9급,기술계고,2,4,2,2.0:1,3,2,75.0,1.5:1,3,2,68,,,2,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,녹지,조경,9급,기술계고,2,12,9,6.0:1,11,8,91.7,5.5:1,4,3,93,,,2,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,보건,보건,9급,기술계고,1,9,8,9.0:1,9,8,100.0,9.0:1,3,2,93.33,,,1,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,시설,일반토목,9급,기술계고,18,35,4,1.9:1,33,4,94.3,1.8:1,24,4,89.67,,,18,2,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,시설,건축,9급,기술계고,16,22,10,1.4:1,20,9,90.9,1.3:1,17,8,64.67,,,16,8,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,방송통신,통신기술,9급,기술계고,2,2,1,1.0:1,2,1,100.0,1.0:1,2,1,78,,,2,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,시설관리,기계시설,9급,기술계고,18,41,5,2.3:1,27,3,65.9,1.5:1,15,1,62.5,,,14,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,기술직군,시설관리,전기시설,9급,기술계고,9,78,13,8.7:1,27,5,34.6,3.0:1,12,1,77.5,,,10,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,연구·지도직군,학예연구,학예일반,연구사,박물관학 및 한국 근현대사,5,549,445,109.8:1,324,258,59.0,64.8:1,7,6,75,,,5,4,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,연구·지도직군,기록연구,기록관리,연구사,일반,1,80,57,80.0:1,45,32,56.2,45.0:1,4,2,65.83,,,1,0,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,연구·지도직군,수의연구,수의,연구사,일반,1,16,10,16.0:1,7,5,43.8,7.0:1,4,3,76.67,,,1,0,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,경력경쟁,,연구·지도직군,농촌지도,원예,지도사,일반,3,107,72,35.7:1,66,46,61.7,22.0:1,6,3,88.33,,,3,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설,건축,9급,일반,57,603,297,10.6:1,375,203,62.2,6.6:1,76,43,54,,,58,33,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설,건축,9급,장애인,3,7,2,2.3:1,4,0,57.1,1.3:1,0,0,,,,0,0,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
