지역,연도,회차,임용기관,직군,직렬,직류,대상,선발,접수,응시,합격선,원본파일명,중복그룹
경기,2023,2회,경기도,행정직군,행정,일반행정,일반,7,2167,1185,97,2023년도 제2회 경기도 공개경쟁(7급) 필기시험 합격선.pdf,
경기,2023,2회,평택시,행정직군,행정,일반행정,일반,1,107,49,87,2023년도 제2회 경기도 공개경쟁(7급) 필기시험 합격선.pdf,
경기,2023,2회,경기도,행정직군,행정,일반행정,장애인,1,38,16,54,2023년도 제2회 경기도 공개경쟁(7급) 필기시험 합격선.pdf,
경기,2023,2회,경기도,기술직군,녹지,산림자원,일반,2,65,30,76,2023년도 제2회 경기도 공개경쟁(7급) 필기시험 합격선.pdf,
경남,2023,2회,창원시,행정직군,행정,일반행정,일반,2,684,325,97.00,경남 7급 응시율+합격선 병합(창원시 일반행정),
경북,2023,2회,경북도,행정직군,행정,일반행정,일반,5,309,170,94,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,포항시,행정직군,행정,일반행정,일반,2,150,74,93,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,경주시,행정직군,행정,일반행정,일반,1,69,32,91,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,김천시,행정직군,행정,일반행정,일반,1,59,34,89,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,구미시,행정직군,행정,일반행정,일반,1,79,45,87,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,영천시,행정직군,행정,일반행정,일반,1,49,25,87,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,상주시,행정직군,행정,일반행정,일반,1,66,36,89,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,경산시,행정직군,행정,일반행정,일반,1,65,27,90,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,영양군,행정직군,행정,일반행정,일반,1,31,14,74,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,칠곡군,행정직군,행정,일반행정,일반,1,62,31,87,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,봉화군,행정직군,행정,일반행정,일반,1,36,15,76,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,울진군,행정직군,행정,일반행정,일반,1,25,14,81,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
경북,2023,2회,영덕군,행정직군,행정,일반행정,장애인,1,3,,,2023년도 경상북도 7급 공채 필기시험 합격선.pdf,
광주,2023,2회,,기술직군,수의,수의,일반,1,5,2,80,광주 7급 응시율+합격선 병합,
대전,2023,2회,,행정직군,행정,일반행정,일반,5,774,425,95.00,대전 7급 응시율+합격선 병합,
대전,2023,2회,,기술직군,수의,수의,일반,4,3,1,65.00,대전 7급 응시율+합격선 병합,
